"","Site","Treatment","MEAN_CO2_FLUX_ugC_gSoil_hr","CUM_CO2_FLUX_mgC_gSoil"
"1","CPCRW","drought","5.71 ± 1.46 c","4.31 ± 1.42 c"
"2","CPCRW","field moist","17.98 ± 9.85 b","19.21 ± 11.3 b"
"3","CPCRW","saturation","42.33 ± 14.95 a","32.33 ± 8.43 a"
"4","DWP","drought","0.17 ± 0.02 c","0.22 ± 0.05 c"
"5","DWP","field moist","6.84 ± 2.42 a","6.11 ± 3.41 a"
"6","DWP","saturation","5.71 ± 1.62 b","2.99 ± 0.65 b"
"7","SR","drought","4.2 ± 2.54 b","3.08 ± 1.89 b"
"8","SR","field moist","37.77 ± 20.61 a","37.42 ± 20.96 a"
"9","SR","saturation","39.24 ± 6.76 a","40.68 ± 10.92 a"
