site,unique,Class,peaks_count
CPCRW,drought,AminoSugar,128
CPCRW,field_moist,AminoSugar,132
CPCRW,saturation,AminoSugar,135
CPCRW,time_zero_sat,AminoSugar,107
DWP,drought,AminoSugar,125
DWP,field_moist,AminoSugar,61
DWP,saturation,AminoSugar,112
DWP,time_zero_sat,AminoSugar,137
SR,drought,AminoSugar,175
SR,field_moist,AminoSugar,157
SR,saturation,AminoSugar,150
SR,time_zero_sat,AminoSugar,110
CPCRW,drought,Carb,127
CPCRW,field_moist,Carb,162
CPCRW,saturation,Carb,171
CPCRW,time_zero_sat,Carb,149
DWP,drought,Carb,107
DWP,field_moist,Carb,62
DWP,saturation,Carb,148
DWP,time_zero_sat,Carb,157
SR,drought,Carb,185
SR,field_moist,Carb,167
SR,saturation,Carb,150
SR,time_zero_sat,Carb,105
CPCRW,drought,ConHC,581
CPCRW,field_moist,ConHC,592
CPCRW,saturation,ConHC,397
CPCRW,time_zero_sat,ConHC,399
DWP,drought,ConHC,500
DWP,field_moist,ConHC,208
DWP,saturation,ConHC,619
DWP,time_zero_sat,ConHC,579
SR,drought,ConHC,747
SR,field_moist,ConHC,460
SR,saturation,ConHC,530
SR,time_zero_sat,ConHC,590
CPCRW,drought,Lignin,856
CPCRW,field_moist,Lignin,875
CPCRW,saturation,Lignin,733
CPCRW,time_zero_sat,Lignin,655
DWP,drought,Lignin,819
DWP,field_moist,Lignin,279
DWP,saturation,Lignin,872
DWP,time_zero_sat,Lignin,901
SR,drought,Lignin,965
SR,field_moist,Lignin,846
SR,saturation,Lignin,860
SR,time_zero_sat,Lignin,617
CPCRW,drought,Lipid,459
CPCRW,field_moist,Lipid,580
CPCRW,saturation,Lipid,598
CPCRW,time_zero_sat,Lipid,520
DWP,drought,Lipid,642
DWP,field_moist,Lipid,241
DWP,saturation,Lipid,711
DWP,time_zero_sat,Lipid,577
SR,drought,Lipid,481
SR,field_moist,Lipid,634
SR,saturation,Lipid,556
SR,time_zero_sat,Lipid,452
CPCRW,drought,Protein,417
CPCRW,field_moist,Protein,415
CPCRW,saturation,Protein,466
CPCRW,time_zero_sat,Protein,388
DWP,drought,Protein,537
DWP,field_moist,Protein,170
DWP,saturation,Protein,439
DWP,time_zero_sat,Protein,421
SR,drought,Protein,452
SR,field_moist,Protein,465
SR,saturation,Protein,446
SR,time_zero_sat,Protein,312
CPCRW,drought,Tannin,150
CPCRW,field_moist,Tannin,130
CPCRW,saturation,Tannin,133
CPCRW,time_zero_sat,Tannin,124
DWP,drought,Tannin,128
DWP,field_moist,Tannin,53
DWP,saturation,Tannin,162
DWP,time_zero_sat,Tannin,142
SR,drought,Tannin,216
SR,field_moist,Tannin,130
SR,saturation,Tannin,146
SR,time_zero_sat,Tannin,149
CPCRW,drought,Unnamed,181
CPCRW,field_moist,Unnamed,202
CPCRW,saturation,Unnamed,190
CPCRW,time_zero_sat,Unnamed,175
DWP,drought,Unnamed,194
DWP,field_moist,Unnamed,73
DWP,saturation,Unnamed,215
DWP,time_zero_sat,Unnamed,212
SR,drought,Unnamed,222
SR,field_moist,Unnamed,182
SR,saturation,Unnamed,178
SR,time_zero_sat,Unnamed,212
CPCRW,drought,UnsatHC,252
CPCRW,field_moist,UnsatHC,246
CPCRW,saturation,UnsatHC,255
CPCRW,time_zero_sat,UnsatHC,228
DWP,drought,UnsatHC,275
DWP,field_moist,UnsatHC,110
DWP,saturation,UnsatHC,315
DWP,time_zero_sat,UnsatHC,280
SR,drought,UnsatHC,209
SR,field_moist,UnsatHC,288
SR,saturation,UnsatHC,281
SR,time_zero_sat,UnsatHC,220
CPCRW,drought,total,3151
CPCRW,field_moist,total,3334
CPCRW,saturation,total,3078
CPCRW,time_zero_sat,total,2745
DWP,drought,total,3327
DWP,field_moist,total,1257
DWP,saturation,total,3593
DWP,time_zero_sat,total,3406
SR,drought,total,3652
SR,field_moist,total,3329
SR,saturation,total,3297
SR,time_zero_sat,total,2767
