"","pore_size","cpcrw","dwp","sr"
"1",50,0.232288037166086,0.222197533607377,0
"2",100,0.232288037166086,0.733251860904344,0.233644859813084
"3",150,1.27758420441347,1.87756915898234,0
"4",200,2.61324041811847,5.2771914231752,2.57009345794392
"5",250,4.76190476190476,10.8654593934007,8.8785046728972
"6",300,5.63298490127758,11.2987445839351,9.57943925233645
"7",350,6.15563298490128,10.1433174091768,9.11214953271028
"8",400,5.80720092915215,8.13242973003,6.30841121495327
"9",450,5.74912891986063,6.34373958449061,5.37383177570093
"10",500,5.69105691056911,5.36607043661815,7.00934579439252
"11",550,4.70383275261324,4.48839017886901,4.90654205607477
"12",600,4.52961672473868,3.51072103099656,3.03738317757009
"13",650,3.71660859465738,3.18853460726586,3.03738317757009
"14",700,3.94889663182346,2.84412843017443,2.80373831775701
"15",750,3.83275261324042,2.48861237640262,1.63551401869159
"16",800,2.4390243902439,2.3552938562382,2.80373831775701
"17",850,3.07781649245064,2.06643706254861,2.33644859813084
"18",900,2.55516840882695,1.5331629818909,2.10280373831776
"19",950,2.4390243902439,1.45539384512832,2.57009345794392
"20",1000,1.68408826945412,1.22208643484057,1.86915887850467
"21",1050,2.20673635307782,1.04432840795467,2.10280373831776
"22",1100,1.91637630662021,0.933229641150983,0.700934579439252
"23",1150,1.50987224157956,1.19986668147984,0.934579439252336
"24",1200,1.04529616724739,0.788801244306188,0.700934579439252
"25",1250,1.10336817653891,0.655482724141762,0.467289719626168
"26",1300,1.50987224157956,0.644372847461393,1.4018691588785
"27",1350,0.754936120789779,0.666592600822131,1.4018691588785
"28",1400,0.929152148664344,0.466614820575492,0.934579439252336
"29",1450,0.871080139372822,0.533274080657705,0.467289719626168
"30",1500,1.04529616724739,0.544383957338074,0.700934579439252
"31",1550,0.754936120789779,0.322186423730697,0.934579439252336
"32",1600,0.987224157955865,0.566603710698811,0.467289719626168
"33",1650,0.754936120789779,0.355516053771803,0.233644859813084
"34",1700,0.929152148664344,0.366625930452172,0.700934579439252
"35",1750,0.522648083623693,0.277746917009221,0.467289719626168
"36",1800,1.04529616724739,0.199977780246639,0.700934579439252
"37",1850,0.754936120789779,0.366625930452172,0.934579439252336
"38",1900,0.40650406504065,0.199977780246639,1.4018691588785
"39",1950,0.464576074332172,0.277746917009221,0
"40",2000,0.464576074332172,0.266637040328852,0.700934579439252
"41",2050,0.464576074332172,0.266637040328852,0.934579439252336
"42",2100,0.580720092915215,0.244417286968115,0.700934579439252
"43",2150,0.116144018583043,0.211087656927008,0.233644859813084
"44",2200,0.638792102206736,0.199977780246639,0.233644859813084
"45",2250,0.40650406504065,0.111098766803688,0.233644859813084
"46",2300,0.40650406504065,0.144428396844795,0
"47",2350,0.580720092915215,0.222197533607377,0
"48",2400,0.40650406504065,0.155538273525164,0
"49",2450,0.348432055749129,0.122208643484057,1.16822429906542
"50",2500,0.290360046457607,0.0999888901233196,0.467289719626168
"51",2550,0.290360046457607,0.0777691367625819,0
"52",2600,0.174216027874564,0.0777691367625819,0.467289719626168
"53",2650,0.290360046457607,0.0999888901233196,0
"54",2700,0.290360046457607,0.0777691367625819,0.467289719626168
"55",2750,0.116144018583043,0.0555493834018442,0.233644859813084
"56",2800,0.232288037166086,0.133318520164426,0.233644859813084
"57",2850,0.348432055749129,0.0555493834018442,0.233644859813084
"58",2900,0.290360046457607,0.0333296300411065,0.233644859813084
"59",2950,0.174216027874564,0.0666592600822131,0
"60",3000,0.0580720092915215,0.211087656927008,0
"61",3050,0.348432055749129,0.122208643484057,0
"62",3100,0.0580720092915215,0.0777691367625819,0
"63",3150,0.0580720092915215,0.0555493834018442,0
"64",3200,0.0580720092915215,0.0333296300411065,0
"65",3250,0.0580720092915215,0.0444395067214754,0
"66",3300,0.116144018583043,0.111098766803688,0
"67",3350,0.290360046457607,0.0777691367625819,0
"68",3400,0,0.0555493834018442,0
"69",3450,0.232288037166086,0.0555493834018442,0.467289719626168
"70",3500,0.174216027874564,0.0555493834018442,0.233644859813084
"71",3550,0.232288037166086,0.0444395067214754,0
"72",3600,0,0.0333296300411065,0.233644859813084
"73",3650,0.174216027874564,0.0444395067214754,0
"74",3700,0.0580720092915215,0.0666592600822131,0.467289719626168
"75",3750,0.0580720092915215,0.0666592600822131,0
"76",3800,0.116144018583043,0.0666592600822131,0.233644859813084
"77",3850,0,0.0222197533607377,0
"78",3900,0.116144018583043,0.0777691367625819,0
"79",3950,0.290360046457607,0.0888790134429508,0
"80",4000,0,0.0444395067214754,0
