"","site","variable","mean","se","summary","summary_hsd"
"1","CPCRW","Ca_meq100g",3.518,0.413623016767684,"3.52 ± 0.41","3.52 ± 0.41   b"
"2","CPCRW","Clay_perc",15.2,0.374165738677394,"15.2 ± 0.37","15.2 ± 0.37   b"
"3","CPCRW","EC_dS_m",0.068,0.00734846922834953,"0.07 ± 0.01","0.07 ± 0.01   a"
"4","CPCRW","Mg_meq100g",1.084,0.0923904756996088,"1.08 ± 0.09","1.08 ± 0.09   b"
"5","CPCRW","pH",5.306,0.169782213438275,"5.31 ± 0.17","5.31 ± 0.17   b"
"6","CPCRW","Sand_perc",31.8,7.47261667690776,"31.8 ± 7.47","31.8 ± 7.47   b"
"7","CPCRW","Silt_perc",53,7.36206492772239,"53 ± 7.36","53 ± 7.36   a"
"8","CPCRW","TC_perc",1.432,0.214625254804741,"1.43 ± 0.21","1.43 ± 0.21   b"
"9","CPCRW","TN_perc",0.072,0.0101980390271856,"0.07 ± 0.01","0.07 ± 0.01   b"
"10","CPCRW","TOC_perc",1.428,0.187653936809223,"1.43 ± 0.19","1.43 ± 0.19   b"
"11","CPCRW","WSOC_mg_g",1.044,0.284650663094257,"1.04 ± 0.28","1.04 ± 0.28   a"
"12","DWP","Ca_meq100g",0.81,0.105356537528527,"0.81 ± 0.11","0.81 ± 0.11   c"
"13","DWP","Clay_perc",5.4,1.28840987267251,"5.4 ± 1.29","5.4 ± 1.29   c"
"14","DWP","EC_dS_m",0.062,0.0106770782520313,"0.06 ± 0.01","0.06 ± 0.01   a"
"15","DWP","Mg_meq100g",0.264,0.0282134719593318,"0.26 ± 0.03","0.26 ± 0.03   b"
"16","DWP","pH",4.786,0.106376689175778,"4.79 ± 0.11","4.79 ± 0.11   c"
"17","DWP","Sand_perc",90.8,1.74355957741627,"90.8 ± 1.74","90.8 ± 1.74   a"
"18","DWP","Silt_perc",3.8,0.66332495807108,"3.8 ± 0.66","3.8 ± 0.66   b"
"19","DWP","TC_perc",0.976,0.101862652625975,"0.98 ± 0.1","0.98 ± 0.1   b"
"20","DWP","TN_perc",0.04,0.00316227766016838,"0.04 ± 0","0.04 ± 0   b"
"21","DWP","TOC_perc",0.882,0.114122740941497,"0.88 ± 0.11","0.88 ± 0.11   b"
"22","DWP","WSOC_mg_g",0.996,0.155614909311415,"1 ± 0.16","1 ± 0.16   a"
"23","SR","Ca_meq100g",17.206,0.748128331237362,"17.21 ± 0.75","17.21 ± 0.75   a"
"24","SR","Clay_perc",27.75,1.65201896679992,"27.75 ± 1.65","27.75 ± 1.65   a"
"25","SR","Mg_meq100g",7.556,0.460191264584629,"7.56 ± 0.46","7.56 ± 0.46   a"
"26","SR","pH",5.82,0.0467974358271903,"5.82 ± 0.05","5.82 ± 0.05   a"
"27","SR","Sand_perc",14,2.12132034355964,"14 ± 2.12","14 ± 2.12   b"
"28","SR","Silt_perc",58.5,1.5,"58.5 ± 1.5","58.5 ± 1.5   a"
"29","SR","TC_perc",10.32,0.452945912885854,"10.32 ± 0.45","10.32 ± 0.45   a"
"30","SR","TN_perc",0.594,0.0120830459735946,"0.59 ± 0.01","0.59 ± 0.01   a"
"31","SR","TOC_perc",9.938,0.47175629301579,"9.94 ± 0.47","9.94 ± 0.47   a"
"32","SR","WSOC_mg_g",0.674,0.0352987251894456,"0.67 ± 0.04","0.67 ± 0.04   a"
